Nombre Estación,Troncal,Latitud Estación,Longitud Estación,Validaciones 2022,Validaciones 2024,diferencia
AV. 39,Caracas,4.62689711,-74.06869106,691404.0,973404.0,282000.0
Avenida Jimenez,Caracas,4.60287397,-74.08042807,2392822.0,2699134.0,306312.0
Biblioteca,Tunal,4.5703019,-74.13038805,212171.0,275099.0,62928.0
Bicentenario,Cr 7-10,4.59402109,-74.08183585,300430.0,423726.0,123296.0
Calle 22,Caracas,4.61169462,-74.07468354,473508.0,401913.0,-71595.0
Calle 34,Caracas,4.62158594,-74.06975355,977523.0,1360557.0,383034.0
Calle 45 - American School Way,Caracas,4.63145168,-74.06786884,1446663.0,1768952.0,322289.0
Calle 57,Caracas,4.64298174,-74.0658221,894468.0,1235881.0,341413.0
Calle 63,Caracas,4.64840372,-74.06486173,1732159.0,2425120.0,692961.0
Ciudad Jardín - UAN,Cr 7-10,4.58153243,-74.09033824,211661.0,241480.0,29819.0
De La Sabana,Americas,4.60543098,-74.0818916,357412.0,546882.0,189470.0
Flores – Areandina,Caracas,4.65490596,-74.06302132,967973.0,117879.0,-850094.0
Héroes - Gel´Hada,Autonorte,4.66813633,-74.06031244,1210515.0,1425047.0,214532.0
Las Aguas,Eje Ambiental,4.60257975,-74.06840143,1046142.0,92740.0,-953402.0
Las Nieves,Cr 7-10,4.60606079,-74.07431885,727449.0,958809.0,231360.0
Museo del Oro,Eje Ambiental,4.60116072,-74.07289759,954869.0,1423940.0,469071.0
Parque,Tunal,4.56833577,-74.13541846,190173.0,266477.0,76304.0
Policarpa,Cr 7-10,4.58625694,-74.08692095,265456.0,239368.0,-26088.0
San Bernardo,Cr 7-10,4.59019014,-74.08431921,413775.0,564260.0,150485.0
San Facon Carrera 22,Americas,4.60981799,-74.08671226,440474.0,571471.0,130997.0
San Victorino,Cr 7-10,4.60101831,-74.07740612,1292915.0,1541201.0,248286.0
Santa Lucía,Caracas,4.57096376,-74.12469525,1048853.0,1144119.0,95266.0
Universidades,Calle 26,4.60464286,-74.06730954,1006628.0,1230171.0,223543.0
